store,deal
16 Handles,$5 reward
7-Eleven,Free Slurpee
7Brew,Free drink
99 Restaurant & Pub,Free dessert
A&W All American Food,Free root beer float
ABC Liquor,Birthday gift
Abuelo’s,Special reward
Acapulco Restaurant & Cantina,Complimentary entree
Ace Hardware,$5-$10 off
Adidas,Birthday gift
Alamo Drafthouse Cinema,Free movie ticket
Albertsons,Birthday treat up to $10
American Eagle,$5 reward
American Girl,Special offer
Anastasia Beverly Hills,Free birthday gift
Andy’s Frozen Custard,Free cone
Anthony’s Coal Fired Pizza & Wings,Free 12-inch pizza
Anthropologie,Birthday bonus
Applebee’s,Free dessert
Arby’s,Free curly fries or dessert
Art of Tea,10%-20% discount
Athleta,Birthday bonus
Atlanta Bread,Free cookie
Au Bon Pain,Free gift
Auntie Anne’s,Free pretzel
Aveda,Free gift
B.GOOD,Free meal
Baja Fresh,Special offer
Banana Republic,Special surprise
Bar Louie,Free reward
Barberitos,Free small cheese dip
bareMinerals,Free gift
BarkBox,Special box
Barnes & Noble,Special offer
Bashas’,Free birthday stuff
Baskin Robbins,Free ice cream scoop
Bath & Body Works,Free body care item
bb.q Chicken,Free coupon with $15 purchase
BD’s Mongolian Grill,Free bowl
Beef ‘O’ Brady’s,Free dessert with entree
Ben & Jerry’s,Free ice cream
Ben’s Soft Pretzels,Free Jumbo Soft Pretzel
Benefit Cosmetics,Free birthday reward
Benihana,$30-$50 reward
Bennigan’s,Birthday reward
Bertucci’s,Free dessert
Best Buy,Special gift
Beyond Juicery + Eatery,Free smoothie
BGR The Burger Joint,Free shake or burger
Big Al’s Steaks,Free cheesesteak
Big Boy,Free dessert
Biggby Coffee,Free drink up to 24 ounces
Black Angus Steakhouse,2x points
Black Bear Diner,Free meal
Blimpie,Free 6-inch sub
Bluemercury,Free full-size present
Bob Evans,Free kids meal
Bobbi Brown Cosmetics,Up to $50 off $51
Boiling Point,Free hotpot + drink
Bojangles’,Free Bo-Berry biscuit with purchase
Bonefish Grill,Free dessert or appetizer
Books-A-Million,20% off purchase
Boston Market,Special birthday perks
Boston’s Pizza,Free dessert
BoxLunch,$5 reward
Bruegger’s Bagels,Free bagel
Bruster’s,$3 reward
Buca di Beppo,Free colossal brownie sundae
Build-A-Bear,Special reward
Bumble and bumble,15% off
Burger King,Double rewards points
BurgerFi,Free shake
Buttermilk Sky Pie,Free 4-inch pie with purchase
Calvin Klein,Birthday gift
Cantina Laredo,Complimentary dessert
Capital Grille,Complimentary dessert
Caribou Coffee,Free drink
Carrabba’s,Free dessert or appetizer
Carvel,Free cone
Casey's,Free donut or cookie
Cattlemens,Birthday loyalty coupon
CAVA,Free drink or dessert
Charlie Brown’s Grill,$10 birthday discount
Checkers & Rally’s,Birthday reward
Cheddar’s Scratch Kitchen,Free dessert
Cheesecake Factory,Free cheesecake
Chevy’s Fresh Mex,Free entrée
Chick-fil-A,Free dessert
Chicken Salad Chick,Free Original Chick meal
Chili’s,Free dessert
Chipotle,Free guac
Chuck E Cheese,Free birthday rewards
Church’s Chicken,Free side, pie, or drink
Cinnabon,Free iced coffee
Clinique,Free gift
Cold Stone Creamery,BOGO coupon
Columbia,20% off
Corner Bakery,Free birthday surprise
Cost Plus World Market,15% off coupon
Cotton Patch Cafe,Free dessert
Country Kitchen,Free surprise
Cousin Subs,Birthday gift
Cracker Barrel,Free dessert
Crumbl Cookies,Free cookie
Culver’s,Free treat
CVS Pharmacy,$3 ExtraBucks
Dairy Queen,Birthday offer
Dat Dog,Birthday treat
Dave & Busters,$10 reward
Del Taco,Free shake or dessert
Denny’s,Free Grand Slam
Designer Shoe Warehouse,$5 off
Diptyque,Free candle
Dior,Birthday set
Dippin’ Dots,Free Dippin Dots
Disneyland,Free dessert
Driscoll’s Berries,Birthday surprise
DSW Shoes,Free $5 or $10 certificate
Duluth Trading Company,250 bonus points
Dunkin’ Donuts,3x points
Dunn Brothers Coffee,Free $5 credit
Dutch Bros Coffee,Free drink
Earl of Sandwich,Birthday gift
East Coast Wings & Grill,$10 birthday bonus
Eddie Bauer,10% off
Edible Arrangements,Birthday rewards
e.l.f. Cosmetics,Birthday freebie
Einstein Bros. Bagels,Free egg sandwich
El Chico,Free dessert
El Pollo Loco,Free $5 or $10 reward
El Torito,Free entrée
Express,Free birthday gifts
Famous Dave’s,Free birthday gift
Famous Footwear,$5 reward
Farmer Boys,Birthday surprise
Fazoli’s,Birthday reward
Finish Line,$10 off coupon
Firehouse Subs,Free sub
First Watch,BOGO meal
Flat Top Grill,Free birthday meal
Flying Biscuit Cafe,Free pancake
Foot Locker,Free birthday gift
Freebirds World Burrito,Free burrito
Freedom Debt Relief,Debt consultation
Fresh Cosmetics,Birthday reward with $40 purchase
Friendly’s,Free ice cream
Frisch’s Big Boy,Free sandwich
Fuddruckers,Free BOGO treat
Gamestop,Free gift
Gap,Birthday coupon
Genghis Grill,Free bowl
Golden Corral,Free drink
GoBranded,Up to $140
Graeter’s Ice Cream,Birthday treat
Great American Cookies,Free slice or $5 off
Green Mill,Free small 1-topping pizza
Grimaldi’s,Free pizza
Gymboree,20% discount
H&M,25% off one item
Habit Burger,Birthday offer
Happy Joe’s Pizza,Free 1-topping Little Joe Pizza
Hardee’s,Free sandwich or burger
Harkins Theatres,$5 coupon
Hollister,2x points
Honey Baked Ham,$9 HoneyBaked Cash
Honey Dew Donuts,Special offer
Hooters,Free wings
Hot Topic,$5 coupon
Houlihan’s,Birthday gift
HuHot Mongolian Grill,BOGO deal
IHOP,Free pancakes
IKEA,$10 & dessert
InboxDollars,$225/month
Insomnia Cookies,Free cookie
Insurify,Insurance savings
IT Cosmetics,Birthday gift
J. Crew Factory,$15-$25 off
J.Crew,$10 off purchase
Jack in the Box,Free food item
Jamba Juice,Free smoothie
Jason’s Deli,Free dessert
JCPenney,$10 CashPass
Jeremiah’s Italian Ice,Free treat
Jersey Mike’s,Free sub
Jimmy John’s,Free sandwich or side
Joe’s Crab Shack,Free appetizer
Johnny Rockets,Free burger with purchase
Journeys,Birthday reward
Juice It Up,Birthday reward
Junior’s Cheesecake,Free slice of cheesecake with entree
KashKick,Up to $1,000
Kendall Scott,50% off jewelry
Kiehl’s,Free Lip Balm or travel size with purchase
Kohl’s,Birthday gift
Kona Grill,$25 dining credit
Krispy Kreme,Free donuts
Kum & Go,Free pastry
Kung Fu Tea,Free drink
Kylie Cosmetics,Birthday gift
L’ange,500-2,500 reward points
La Madeline,Free bakery treat
La Roche-Posay,20% discount
Lamar’s Donuts,Free donut
Lancome,20% off
Lane Bryant,Birthday offer
Launch Trampoline Park,Free gift
Lazy Dog Restaurants,Free starter or dessert
Ledo Pizza,Special gift
Lee’s Famous Recipe Chicken,Free dessert
Levi’s,Personalized birthday offer
Logan’s Roadhouse,Free birthday dessert
Loft,$15 reward
Longhorn Steakhouse,Free dessert
Long John Silver’s,Six hushpuppies
Lush,Free mini
MAC Cosmetics,2x-3x points
Macy’s,Special reward
Madewell,$25 off
Maggiano’s,Free birthday gift
Marble Slab/Maggie Moo’s,Free ice cream
Marco’s Pizza,Free small 1-topping pizza
Marie Callender’s,Exclusive offers
Maurices,$5 bonus
McAlister’s Deli,Free birthday treat
McDonald’s,Free food item
Medieval Times,Best deal
Menchie’s,Free $5 froyo
Michael Kors,Birthday reward
Michaels,Birthday reward
Mimi’s Cafe,Free sweet reward
Miniso,Free BlindBox
Mission BBQ,Free sandwich
Moe’s Southwest Grill,Free guac or queso
Morton’s Steakhouse,Free dessert
Nature Made,Birthday reward
Newk’s Eatery,Free slice of cake
Nike,Birthday reward
Noodles & Company,Free dessert
Not Your Average Joes,Special birthday offer
Nothing Bundt Cakes,Free Bundtlet
Novica,Birthday coupon
O’Charley’s,Free dessert
Old Chicago,Free pizza
Old Navy,Birthday bonus
Olive Garden,Free dessert
On the Border,Special surprise
Orange Julius,Free birthday offer
Orange Leaf,Free froyo
Outback Steakhouse,Free dessert
Panda Express,Gift item
Panera,Birthday reward
Papa Gino’s,Free pizza
Papa John’s,Free dessert
Papa Murphy’s,Free birthday pizza
Paula’s Choice Skincare,Free birthday gift
Peet’s Coffee,Free beverage
Pei Wei,Free appetizer
Perkins,Special birthday gift
Pet Supplies Plus,Special gifts
Pet Supermarket,Birthday or Gotcha Day reward
Petco,Free treats
PetSmart,Free birthday gift
Philosophy,Birthday gift
Pieology,BOGO pizza
PINCHme,Free samples
Pinkberry,Free yogurt
Pita Pit,Free pita
Pizza Hut,Special reward
Pizza Ranch,$5 bonus
Planet Smoothie,$6 coupon
Pollo Campero,$10 off $20
Pollo Tropical,Free 1/2 chicken meal
Poppy & Pout,100 points
Popeyes,Free apple pie
Portillo’s,Free slice of cake
Potbelly,Free dream bar or cookie
Pretty Little Thing,Birthday surprise
Publix,Free birthday treat
Qdoba,Free chips & queso
QuickChek,Birthday reward
Quiznos,BOGO sub
RA Sushi,$20 reward
RaceTrac,Free treat
Rainforest Cafe,$25 birthday reward
Raising Cane’s,Special surprises
Ralph Lauren,$10 off
Red Lobster,Birthday reward
Red Mango,$5 off
Red Robin,Free burger or milkshake
Regal,Free popcorn
Rita’s,Exclusive discounts
Rita’s Italian Ice,Free small treat
Rock Bottom Restaurant & Brewery,Free dessert
Rodizio Grill,Free birthday gift
Round Table Pizza,15% off
Ruby Tuesday,Free dessert
Rubio’s,Free reward
Rusty Bucket Restaurant and Tavern,Free dessert
Saks Off 5th,Birthday reward
Sally’s Beauty,$5 reward
Sbarro,Free slice
Schlotzsky’s,Free small sandwich with $1 purchase
Scooter’s Coffee,Birthday reward
Sephora,Free mini set
Shake Shack,Free shake
Slim Chickens,Free jar dessert
SmashBox,Birthday gift
Smashburger,Free reward
Smashburger,Free shake
Smoothie King,Free smoothie
Soma,Birthday reward
Sonic,Free shake or side
Sonny’s BBQ,Free Big Deal combo
Sprinkles,Free cupcake
Starbucks,Free drink or food
Steak ‘n Shake,Free birthday offer
Subway,Free cookie
Sunglass Hut,Birthday reward
Sur la Table,Special birthday reward
Taco Bell,Free gift
Taco Cabana,Birthday surprise
TacoTime,Birthday reward
Target,5% off
Tarte Cosmetics,Birthday gift
TCBY,Free treat
Tecovas,$50 off boots
Ted’s Montana Grill,Complimentary dessert
Texas Roadhouse,Free appetizer
Texas de Brazil,Birthday gift
TGIFridays,Free dessert
The Body Shop,$10 off
The Cheesecake Factory,Free cheesecake
The Children’s Place,20% discount
The Coffee Bean & Tea Leaf,Free beverage or baked good
The Container Store,15-25% off coupon
The Fresh Market,Free slice of cake
The Greene Turtle,Birthday bonus
The Halal Guys,Special birthday reward
The Melting Pot,Birthday voucher
The Old Spaghetti Factory,Birthday reward
The Pasta House Co.,$10 off $20
The Spaghetti Warehouse,Free meal or dessert
TGI Fridays,Free birthday dessert
Tijuana Flats,Free dessert
Tilly’s,$5 coupon
Tim Hortons,Birthday offer
Toms,15%-25% off
Tommy Hilfiger,Birthday gift
Torrid,Birthday gift
Trader Joe’s,Free flowers
Tropical Smoothie Cafe,Free smoothie
Tucanos,Free birthday meal
Tupelo Honey,$20 reward
Uberrito,Birthday surprise
Ulta Beauty,Free gift
Under Armour,2x points
Uno Pizzeria & Grill,Birthday coupon
Urban Decay,Free birthday gift
Vera Bradley,$25 off $100
Victoria’s Secret,$10-$15 reward
Vitality Bowls,Free acai bowl
Waffle House,Free waffle
Wahlburgers,Free shake
Wawa,Free fountain drink, coffee, or ICEE
Wayback Burgers,Free Oldtime Favorite Milkshake
Wendy’s,Free Frosty
Wetzel’s Pretzels,Free pretzel
Whataburger,Free birthday offer
Which Wich,Free wich
Wienerschnitzel,Free food
Wingstop,Free fries or gift
World Market,Surprise offer
Yankee Candle,Birthday gift
Yard House,Free dessert with meal
Yogurtland,Free birthday treat
Zaxby’s,Free food
zPizza,Birthday treat
Zips Car Wash,Free carwash